code,filename,colors,patterns,uses,styles,image
PI-506,PI-506.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-506.jpg
PI-509,PI-509.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-509.jpg
PI-514,PI-514.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-514.jpg
PI-515,PI-515.jpg,"grey, navy",texture,shirt,"shirt, premium, casual, light, dark",images/PI-515.jpg
PI-517,PI-517.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-517.jpg
PI-522,PI-522.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-522.jpg
PI-524,PI-524.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-524.jpg
PI-526,PI-526.jpg,"blue, grey",texture,shirt,"shirt, premium, casual, light",images/PI-526.jpg
PI-528,PI-528.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-528.jpg
PI-529,PI-529.jpg,"blue, grey",solid,shirt,"shirt, premium, formal, light",images/PI-529.jpg
PI-530,PI-530.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-530.jpg
PI-531,PI-531.jpg,grey,stripes,shirt,"shirt, premium, formal, light",images/PI-531.jpg
